"Zip Code","Place Name",State,County,Lat,Long
03501,10Holtsville,02NY,07Suffolk,0740.8154,08-73.0451
03544,10Holtsville,02NY,07Suffolk,0740.8154,08-73.0451
041001,06Agawam,02MA,07Hampden,0742.0702,08-72.6227
041002,07Amherst,02MA,09Hampshire,0742.3671,08-72.4646
041003,07Amherst,02MA,09Hampshire,0742.3919,08-72.5248
041004,07Amherst,02MA,09Hampshire,0742.3845,08-72.5132
041005,05Barre,02MA,09Worcester,0742.4097,08-72.1084
041007,11Belchertown,02MA,09Hampshire,0742.2751,07-72.411
041008,09Blandford,02MA,07Hampden,0742.1829,08-72.9361
041009,10Bondsville,02MA,07Hampden,0742.2061,08-72.3405
041010,09Brimfield,02MA,07Hampden,0742.1165,08-72.1885
041011,07Chester,02MA,07Hampden,0742.2794,08-72.9888
041012,12Chesterfield,02MA,09Hampshire,0742.3923,08-72.8256
041013,08Chicopee,02MA,07Hampden,0742.1487,08-72.6079
041014,08Chicopee,02MA,07Hampden,0742.1707,08-72.6048
041020,08Chicopee,02MA,07Hampden,0742.1764,08-72.5761
041021,08Chicopee,02MA,07Hampden,0742.1707,08-72.6048
041022,08Chicopee,02MA,07Hampden,0742.1934,08-72.5544
041026,10Cummington,02MA,09Hampshire,0742.4633,08-72.9202
041027,11Easthampton,02MA,09Hampshire,0742.2668,07-72.669
041028,15East Longmeadow,02MA,07Hampden,0742.0672,08-72.5056
041029,09East Otis,02MA,09Berkshire,0742.1909,08-73.0517
041030,13Feeding Hills,02MA,07Hampden,0742.0718,08-72.6751
041031,12Gilbertville,02MA,09Worcester,0742.3322,08-72.1986
041032,06Goshen,02MA,09Hampshire,0742.4404,08-72.7995
041033,06Granby,02MA,09Hampshire,0742.2557,06-72.52
041034,09Granville,02MA,07Hampden,0742.1127,07-72.952
041035,06Hadley,02MA,09Hampshire,0742.3606,08-72.5715
041036,07Hampden,02MA,07Hampden,0742.0648,08-72.4318
041037,08Hardwick,02MA,09Worcester,0742.3479,08-72.2253
041038,08Hatfield,02MA,09Hampshire,0742.3844,08-72.6167
041039,11Haydenville,02MA,09Hampshire,0742.3818,08-72.7032
041040,07Holyoke,02MA,07Hampden,0642.202,08-72.6262
